time	V(N001,N002)	V(n004)
0.000000000000000e+000	-9.999847e-002	4.044555e+000
1.785714306582317e-009	-1.000007e-001	4.044554e+000
3.571428613164635e-009	-1.000030e-001	4.044553e+000
5.357142919746952e-009	-1.000052e-001	4.044551e+000
7.142857226329270e-009	-1.000075e-001	4.044550e+000
8.928571532911587e-009	-1.000097e-001	4.044549e+000
1.071428583949391e-008	-1.000120e-001	4.044548e+000
1.250000014607622e-008	-1.000142e-001	4.044547e+000
2.500000029215244e-008	-1.000299e-001	4.044539e+000
5.000000058430487e-008	-1.000614e-001	4.044525e+000
1.000000011686097e-007	-1.001242e-001	4.044497e+000
2.000000023372195e-007	-1.002499e-001	4.044446e+000
4.000000046744390e-007	-1.005012e-001	4.044358e+000
8.000000093488779e-007	-1.010038e-001	4.044224e+000
1.600000018697756e-006	-1.020087e-001	4.044053e+000
3.200000037395512e-006	-1.040175e-001	4.043864e+000
6.400000074791024e-006	-1.080271e-001	4.043640e+000
1.093567491430407e-005	-1.136718e-001	4.043380e+000
2.000702459333016e-005	-1.247877e-001	4.042875e+000
2.977264959333017e-005	-1.364071e-001	4.042344e+000
3.953827459333016e-005	-1.474845e-001	4.041839e+000
4.930389959333017e-005	-1.578479e-001	4.041371e+000
5.906952459333017e-005	-1.673410e-001	4.040950e+000
6.883514959333017e-005	-1.758213e-001	4.040583e+000
7.860077459333016e-005	-1.831610e-001	4.040276e+000
8.836639959333016e-005	-1.892498e-001	4.040035e+000
9.813202459333017e-005	-1.939964e-001	4.039864e+000
1.078976495933302e-004	-1.973293e-001	4.039764e+000
1.176632745933302e-004	-1.991980e-001	4.039739e+000
1.274288995933302e-004	-1.996031e-001	4.039786e+000
1.364547852670240e-004	-1.986191e-001	4.039896e+000
1.462204102670239e-004	-1.961002e-001	4.040086e+000
1.559860352670239e-004	-1.921637e-001	4.040344e+000
1.657516602670240e-004	-1.868412e-001	4.040666e+000
1.755172852670239e-004	-1.802127e-001	4.041048e+000
1.852829102670239e-004	-1.723773e-001	4.041485e+000
1.950485352670240e-004	-1.634536e-001	4.041968e+000
2.048141602670239e-004	-1.535752e-001	4.042491e+000
2.145797852670239e-004	-1.428912e-001	4.043044e+000
2.243454102670240e-004	-1.315620e-001	4.043616e+000
2.341110352670239e-004	-1.197581e-001	4.044195e+000
2.438766602670239e-004	-1.076570e-001	4.044767e+000
2.536422852670239e-004	-9.544051e-002	4.045309e+000
2.634079102670239e-004	-8.329272e-002	4.045791e+000
2.731735352670239e-004	-7.139623e-002	4.046150e+000
2.829391602670240e-004	-5.992985e-002	4.046134e+000
2.927047852670240e-004	-4.906625e-002	4.044895e+000
3.024704102670240e-004	-3.896862e-002	4.040605e+000
3.122360352670239e-004	-2.978897e-002	4.029877e+000
3.220016602670239e-004	-2.166533e-002	4.005398e+000
3.317672852670239e-004	-1.471990e-002	3.949673e+000
3.415329102670239e-004	-9.057149e-003	3.824606e+000
3.512985352670240e-004	-4.762232e-003	3.593494e+000
3.610641602670240e-004	-1.899762e-003	3.283136e+000
3.708297852670239e-004	-5.127904e-004	2.966957e+000
3.805954102670239e-004	-6.166697e-004	2.686624e+000
3.902170678709142e-004	-2.186384e-003	2.454885e+000
3.999826928709142e-004	-5.245149e-003	2.267948e+000
4.097483178709143e-004	-9.723604e-003	2.127880e+000
4.195139428709142e-004	-1.555990e-002	2.030620e+000
4.292795678709142e-004	-2.266622e-002	1.970275e+000
4.390451928709142e-004	-3.093570e-002	1.940391e+000
4.488108178709142e-004	-4.024392e-002	1.934521e+000
4.585764428709142e-004	-5.045092e-002	1.946779e+000
4.683420678709143e-004	-6.140316e-002	1.972106e+000
4.781076928709142e-004	-7.293594e-002	2.006449e+000
4.878733178709142e-004	-8.487570e-002	2.046756e+000
4.976389428709143e-004	-9.704304e-002	2.090858e+000
5.074045678709143e-004	-1.092547e-001	2.137296e+000
5.171701928709142e-004	-1.213273e-001	2.185131e+000
5.269358178709142e-004	-1.330789e-001	2.233791e+000
5.367014428709142e-004	-1.443329e-001	2.282948e+000
5.464670678709142e-004	-1.549203e-001	2.332387e+000
5.562326928709142e-004	-1.646817e-001	2.381964e+000
5.659983178709142e-004	-1.734700e-001	2.431610e+000
5.757639428709142e-004	-1.811533e-001	2.481299e+000
5.855295678709142e-004	-1.876159e-001	2.531023e+000
5.952951928709143e-004	-1.927607e-001	2.580775e+000
6.050608178709143e-004	-1.965101e-001	2.630559e+000
6.148264428709143e-004	-1.988850e-001	2.680374e+000
6.225827530643290e-004	-1.996751e-001	2.719966e+000
6.316013205511516e-004	-1.993072e-001	2.766034e+000
6.413669455511516e-004	-1.975214e-001	2.815956e+000
6.511325705511516e-004	-1.942973e-001	2.865918e+000
6.608981955511516e-004	-1.896553e-001	2.915918e+000
6.706638205511516e-004	-1.836646e-001	2.965948e+000
6.804294455511515e-004	-1.764152e-001	3.015996e+000
6.901950705511515e-004	-1.680167e-001	3.066034e+000
6.999606955511515e-004	-1.585951e-001	3.116018e+000
7.097263205511515e-004	-1.482921e-001	3.165868e+000
7.194919455511515e-004	-1.372628e-001	3.215420e+000
7.292575705511516e-004	-1.256731e-001	3.264359e+000
7.390231955511516e-004	-1.136971e-001	3.312169e+000
7.487888205511516e-004	-1.015149e-001	3.357988e+000
7.585544455511516e-004	-8.931017e-002	3.400323e+000
7.683200705511516e-004	-7.726598e-002	3.436682e+000
7.780856955511516e-004	-6.556386e-002	3.463152e+000
7.878513205511516e-004	-5.437958e-002	3.474037e+000
7.976169455511515e-004	-4.388154e-002	3.461862e+000
8.073825705511515e-004	-3.422749e-002	3.418199e+000
8.171481955511515e-004	-2.556270e-002	3.335585e+000
8.269138205511515e-004	-1.801750e-002	3.210241e+000
8.366794455511515e-004	-1.170537e-002	3.044455e+000
8.464450705511515e-004	-6.721266e-003	2.847286e+000
8.562106955511516e-004	-3.140137e-003	2.632952e+000
8.659763205511516e-004	-9.468002e-004	2.416693e+000
8.739424919357004e-004	-2.653552e-004	2.249381e+000
8.821069242921835e-004	-7.114923e-004	2.095677e+000
8.918725492921835e-004	-2.606891e-003	1.939466e+000
9.016381742921835e-004	-5.905606e-003	1.814996e+000
9.114037992921835e-004	-1.061957e-002	1.723545e+000
9.211694242921835e-004	-1.667789e-002	1.662871e+000
9.309350492921834e-004	-2.398941e-002	1.629293e+000
9.407006742921834e-004	-3.244418e-002	1.618412e+000
9.504662992921835e-004	-4.191500e-002	1.625658e+000
9.602319242921835e-004	-5.225950e-002	1.646705e+000
9.699975492921835e-004	-6.332201e-002	1.677771e+000
9.797631742921836e-004	-7.493615e-002	1.715778e+000
9.895287992921834e-004	-8.692741e-002	1.758391e+000
9.992944242921834e-004	-9.911501e-002	1.803941e+000
1.009060049292183e-003	-1.113161e-001	1.851298e+000
1.018825674292183e-003	-1.233469e-001	1.899736e+000
1.028591299292183e-003	-1.350267e-001	1.948813e+000
1.038356924292183e-003	-1.461792e-001	1.998273e+000
1.048122549292183e-003	-1.566377e-001	2.047949e+000
1.057888174292183e-003	-1.662436e-001	2.097731e+000
1.067653799292183e-003	-1.748538e-001	2.147566e+000
1.077419424292184e-003	-1.823375e-001	2.197436e+000
1.087185049292184e-003	-1.885831e-001	2.247335e+000
1.096950674292184e-003	-1.934962e-001	2.297261e+000
1.106716299292184e-003	-1.970031e-001	2.347216e+000
1.116481924292184e-003	-1.991076e-001	2.397203e+000
1.124765750522232e-003	-1.997468e-001	2.439633e+000
1.132412933597364e-003	-1.992705e-001	2.478829e+000
1.142178558597363e-003	-1.973088e-001	2.528921e+000
1.151944183597364e-003	-1.939650e-001	2.579053e+000
1.161709808597364e-003	-1.892076e-001	2.629223e+000
1.171475433597364e-003	-1.831086e-001	2.679426e+000
1.181241058597364e-003	-1.757593e-001	2.729649e+000
1.191006683597364e-003	-1.672709e-001	2.779867e+000
1.200772308597364e-003	-1.577706e-001	2.830039e+000
1.210537933597364e-003	-1.474011e-001	2.880088e+000
1.220303558597364e-003	-1.363187e-001	2.929864e+000
1.230069183597364e-003	-1.246899e-001	2.979072e+000
1.239834808597364e-003	-1.126897e-001	3.027231e+000
1.249600433597364e-003	-1.004989e-001	3.073543e+000
1.259366058597364e-003	-8.830035e-002	3.116624e+000
1.269131683597364e-003	-7.627797e-002	3.154175e+000
1.278897308597364e-003	-6.461221e-002	3.182599e+000
1.288662933597364e-003	-5.347866e-002	3.196671e+000
1.298428558597364e-003	-4.304487e-002	3.189554e+000
1.308194183597364e-003	-3.346771e-002	3.153551e+000
1.317959808597364e-003	-2.489126e-002	3.081838e+000
1.327725433597364e-003	-1.744449e-002	2.970928e+000
1.337491058597364e-003	-1.123939e-002	2.822855e+000
1.347256683597364e-003	-6.369308e-003	2.645840e+000
1.357022308597364e-003	-2.907496e-003	2.452856e+000
1.366787933597364e-003	-8.565020e-004	2.258096e+000
1.375264001248175e-003	-2.568446e-004	2.097771e+000
1.382929877820261e-003	-7.895790e-004	1.968057e+000
1.392695502820261e-003	-2.828900e-003	1.828097e+000
1.402461127820261e-003	-6.249093e-003	1.716930e+000
1.412226752820261e-003	-1.107939e-002	1.636140e+000
1.421992377820261e-003	-1.724708e-002	1.583739e+000
1.431758002820261e-003	-2.465945e-002	1.556387e+000
1.441523627820261e-003	-3.320497e-002	1.550051e+000
1.451289252820261e-003	-4.275519e-002	1.560514e+000
1.461054877820261e-003	-5.316633e-002	1.583768e+000
1.470820502820261e-003	-6.428188e-002	1.616302e+000
1.480586127820261e-003	-7.593465e-002	1.655263e+000
1.490351752820261e-003	-8.794940e-002	1.698481e+000
1.500117377820261e-003	-1.001453e-001	1.744411e+000
1.509883002820261e-003	-1.123390e-001	1.792009e+000
1.519648627820262e-003	-1.243472e-001	1.840602e+000
1.529414252820262e-003	-1.359892e-001	1.889782e+000
1.539179877820261e-003	-1.470897e-001	1.939315e+000
1.548945502820261e-003	-1.574821e-001	1.989046e+000
1.558711127820261e-003	-1.670098e-001	2.038874e+000
1.568476752820261e-003	-1.755295e-001	2.088751e+000
1.578242377820261e-003	-1.829131e-001	2.138661e+000
1.588008002820261e-003	-1.890497e-001	2.188599e+000
1.597773627820261e-003	-1.938467e-001	2.238563e+000
1.607539252820261e-003	-1.972322e-001	2.288557e+000
1.617304877820261e-003	-1.991556e-001	2.338583e+000
1.627070502820261e-003	-1.996245e-001	2.388646e+000
1.635871291332082e-003	-1.987298e-001	2.433797e+000
1.645636916332082e-003	-1.962900e-001	2.483938e+000
1.655402541332082e-003	-1.924386e-001	2.534120e+000
1.665168166332082e-003	-1.871967e-001	2.584339e+000
1.674933791332082e-003	-1.806436e-001	2.634588e+000
1.684699416332082e-003	-1.728773e-001	2.684850e+000
1.694465041332082e-003	-1.640151e-001	2.735098e+000
